member_id,cwd_tier
1000056737,CLSC
1000237824,BLCK
1000240802,CLSC
1000274132,CLSC
1000274595,CLSC
1000293934,CLSC
1000647048,CLSC
1000723567,CLSC
1000741023,CLSC
1000790673,CLSC
1000817245,C LSC
1000819142,CLSC
1000842987,CLSC
1000856359,BLCK
1001023520,CLSC
1001027042,CLSC
1001074622,CLSC
1001075736,CLSC
1001098191,CLSC
1001099991,CLSC
1001102829,CLSC
1001129020,CLSC
1001255379,CLSC
1001270212,CLSC
1001283538,CLSC
1001470903,CLSC
1001507167,CLSC
1001529823,CLSC
1001561917,CLSC
1001741758,CLSC
1001824224,CLSC
1001921590,CLSC
1002036976,CLSC
1002092870,CLSC
1002109849,CLSC
1002168357,CLSC
1002169421,CLSC
1002173316,CLSC
1002199162,CLSC
1002274494,CLSC
1002326302,CLSC
1002341657,CLSC
1002471421,CLSC
1002502035,CLSC
1002568028,CLSC
1002575007,CLSC
1002579116,CLSC
1002583654,CLSC
1002602256,CLSC
1002603023,CLSC
1002644183,CLSC
1002664140,CLSC
1002727053,CLSC
1002730610,CLSC
1002763389,CLSC
1002838900,CLSC
1002865531,CLSC
1002880761,BLCK
1002899159,CLSC
1002974614,CLSC
1003001748,BLCK
1003110788,CLSC
1003119128,CLSC
1003137120,CLSC
1003165436,CLSC
1003181953,CLSC
1003203583,CLSC
1003204888,CLSC
1003217948,CLSC
1003359369,CLSC
1003359542,CLSC
1003413653,CLSC
1003548243,CLSC
1003550231,CLSC
1003550660,CLSC
1003552104,CLSC
1003554969,CLSC
1003555867,CLSC
1003556808,CLSC
1003562376,CLSC
1003563002,CLSC
1003642723,CLSC
1003646815,CLSC
1003652011,CLSC
1003656376,CLSC
1003689393,CLSC
1003698287,CLSC
1003762125,CLSC
1003765417,CLSC
1003767462,CLSC
1003768981,CLSC
1003843149,CLSC
1003896394,CLSC
1003899158,CLSC
1003920533,CLSC
1003934831,CLSC
1003947684,CLSC
1003958301,CLSC
1003982590,CLSC
1003983119,CLSC
1003987656,CLSC
1004002406,CLSC
1004003909,CLSC
1004011514,CLSC
1004037642,CLSC
1004040356,CLSC
1004063721,CLSC
1004064448,CLSC
1004171458,CLSC
1004225577,CLSC
1004226344,CLSC
1004232029,CLSC
1004252605,CLSC
1004253348,CLSC
1004290787,CLSC
1004326847,CLSC
1004362347,CLSC
1004364228,CLSC
1004367577,CLSC
1004384101,CLSC
1004414890,CLSC
1004489934,CLSC
1004502363,CLSC
1004540314,CLSC
1004554497,CLSC
1004708580,CLSC
1004716534,CLSC
1004727192,CLSC
1004790885,CLSC
1004805733,CLSC
1004807168,CLSC
1004810360,CLSC
1004866842,BLCK
1004908859,CLSC
1004909923,CLSC
1004921050,CLSC
1004927958,CLSC
1004937015,CLSC
1004944086,CLSC
1004952113,CLSC
1004962914,CLSC
1005066715,CLSC
1005067085,CLSC
1005067507,CLSC
1005068679,CLSC
1005070667,CLSC
1005071228,CLSC
1005080047,CLSC
1005160237,CLSC
1005164254,CLSC
1005169808,CLSC
1005241987,CLSC
1005268006,CLSC
1005356363,CLSC
1005472012,CLSC
1005473465,CLSC
1005527401,CLSC
1005559131,CLSC
1005565914,CLSC
1005607518,CLSC
1005747074,CLSC
1005750342,BLCK
1005803257,CLSC
1005875206,CLSC
1005887979,CLSC
1005893365,CLSC
1005894652,CLSC
1005901077,CLSC
1005902281,CLSC
1005924186,CLSC
1005928930,CLSC
1005928989,CLSC
1005946791,CLSC
1005951981,CLSC
1005975618,CLSC
1005994320,CLSC
1006012650,CLSC
1006020653,CLSC
1006020893,CLSC
1006038036,CLSC
1006039299,CLSC
1006044059,CLSC
1006044349,CLSC
1006044562,CLSC
1006045783,CLSC
1006046211,CLSC
1006046336,CLSC
1006156051,CLSC
1006162091,CLSC
1006162380,CLSC
1006172918,CLSC
1006179285,CLSC
1006190555,CLSC
1006190837,CLSC
1006193013,CLSC
1006193229,CLSC
1006198129,CLSC
1006199929,CLSC
1006202327,CLSC
1006204190,CLSC
1006207540,CLSC
1006208266,CLSC
1006210460,CLSC
1006227316,CLSC
1006244451,CLSC
1006246043,CLSC
1006249344,CLSC
1006251142,CLSC
1006296477,CLSC
1006336521,CLSC
1006342230,CLSC
1006396806,CLSC
1006406803,CLSC
1006407983,CLSC
1006412025,CLSC
1006412546,CLSC
1006424632,CLSC
1006682577,CLSC
1006701146,CLSC
1006729246,CLSC
1006832826,CLSC
1006836959,CLSC
1006868200,BLCK
1006870925,CLSC
1006936874,CLSC
1006965261,CLSC
1007005448,CLSC
1007022948,CLSC
1007030669,CLSC
1007078809,CLSC
1007082009,CLSC
1007089202,CLSC
1007089590,CLSC
1007111055,CLSC
1007130220,CLSC
1007154873,BLCK
1007155797,CLSC
1007155839,CLSC
1007156241,CLSC
1007156506,CLSC
1007164534,CLSC
1007173774,CLSC
1007184425,CLSC
1007190067,CLSC
1007207812,CLSC
1007218785,CLSC
1007226275,CLSC
1007230160,CLSC
1007234030,CLSC
1007255464,CLSC
1007269762,CLSC
1007272584,CLSC
1007272592,CLSC
1007278136,CLSC
1007288010,CLSC
1007292095,CLSC
1007300583,CLSC
1007309063,CLSC
1007316803,CLSC
1007320771,CLSC
1007320847,CLSC
1007346115,CLSC
1007357906,CLSC
1007366345,CLSC
1007389701,CLSC
1007404153,CLSC
1007415241,CLSC
1007416389,CLSC
1007431206,CLSC
1007432576,CLSC
1007448002,CLSC
1007448671,CLSC
1007451964,CLSC
1007462193,CLSC
1007466590,CLSC
1007467184,CLSC
1007471343,CLSC
1007471699,CLSC
1007476219,CLSC
1007489667,CLSC
1007493917,CLSC
1007494774,CLSC
1007495235,CLSC
1007516832,CLSC
1007524745,CLSC
1007524760,CLSC
1007527474,CLSC
1007538984,CLSC
1007539180,CLSC
1007540683,CLSC
1007541640,CLSC
1007552035,CLSC
1007564063,CLSC
1007564576,CLSC
1007565391,CLSC
1007565573,CLSC
1007566324,CLSC
1007567090,CLSC
1007567389,CLSC
1007570391,CLSC
1007573494,CLSC
1007573510,CLSC
1007592320,CLSC
1007607599,CLSC
1007609736,CLSC
1007617499,CLSC
1007617721,CLSC
1007625450,CLSC
1007660093,CLSC
1007661034,CLSC
1007663568,CLSC
1007673997,CLSC
1007677311,CLSC
1007678707,CLSC
1007683061,CLSC
1007687765,CLSC
1007688730,CLSC
1007689845,CLSC
1007690611,BLCK
1007692591,CLSC
1007707852,CLSC
1007708777,CLSC
1007718867,CLSC
1007729815,CLSC
1007734989,CLSC
1007738352,CLSC
1007754417,CLSC
1007754623,CLSC
1007760034,CLSC
1007764747,CLSC
1007788233,CLSC
1007790312,CLSC
1007800475,CLSC
1007813767,CLSC
1007820119,CLSC
1007822123,CLSC
1007828492,CLSC
1007832247,CLSC
1007832981,BLCK
1007833088,BLCK
1007833096,BLCK
1007833237,BLCK
1007833286,BLCK
