member_id|h_bit_date|h_location|status|tier_class|tier_start_date|skuid
2210980028869407|2020-06-06 16:21:01|710|Active|Tier4|2020-06-06 05:30:00|206873740
2210980028877210|2020-06-07 12:43:25|103|Active|Tier4|2020-06-07 05:30:00|206873740
2210980028876832|2020-06-07 12:19:25|710|Active|Tier4|2020-06-07 05:30:00|206873740
2210914300327313|2020-06-09 16:57:15|710|Active|Tier4|2020-06-09 00:00:00|206873740
2210980028910730|2020-06-09 18:41:10|121|Active|Tier4|2020-06-09 05:30:00|206873740
2210915500089652|2020-07-01 12:46:00|155|Active|Tier3|2020-06-01 00:00:00|206873740
2210980075398177|2020-07-01 16:04:50|259|Active|Tier4|2020-07-01 05:30:00|206873740
2210980075392154|2020-07-01 14:23:05|121|Active|Tier0|2020-07-01 05:30:00|206873740
2210913000146973|2020-07-01 11:25:28|170|Active|Tier3|2020-06-30 00:00:00|206873740
2210912100247475|2020-07-01 18:06:26|715|Active|Tier4|2020-07-09 05:30:00|206873740
2210980075439195|2020-07-02 10:44:58|158|Active|Tier4|2020-07-02 05:30:00|206873740
2210916700505034|2020-07-01 18:23:15|167|Active|Tier4|2020-07-01 05:30:00|206873740
2210980075392154|2020-07-01 19:26:26|121|Active|Tier0|2020-07-01 05:30:00|206873740
2210980075392154|2020-07-01 19:19:42|121|Active|Tier0|2020-07-01 05:30:00|206873740
2210980075450390|2020-07-02 14:16:47|185|Active|Tier4|2020-07-02 05:30:00|206873740
2210912100664752|2020-07-02 15:10:55|715|Active|Tier4|2020-07-09 05:30:00|206873740
2210916500234546|2020-07-02 14:21:39|165|Active|Tier4|2020-07-02 05:30:00|206873740
2210980075457189|2020-07-02 16:26:55|171|Active|Tier4|2020-07-02 05:30:00|206873740
2210918200250244|2020-07-02 17:40:31|182|Active|Tier4|2020-07-02 05:30:00|206873740
2210917100631024|2020-07-02 17:59:46|171|Active|Tier4|2020-07-02 05:30:00|206873740
2210980075462379|2020-07-02 18:06:20|168|Active|Tier0|2020-07-02 05:30:00|206873740
2210917400537749|2020-07-02 18:03:21|174|Active|Tier2|2020-07-02 05:30:00|206873740
2210916800338831|2020-07-02 18:18:39|168|Active|Tier3|2020-07-08 05:30:00|206873740
2210980075457189|2020-07-02 18:20:31|171|Active|Tier4|2020-07-02 05:30:00|206873740
2210980075462379|2020-07-02 18:44:20|168|Active|Tier0|2020-07-02 05:30:00|206873740
2210910302865003|2020-07-02 18:28:11|147|Active|Tier4|2020-07-02 05:30:00|206873740
2210911502178155|2020-07-02 18:59:49|115|Active|Tier4|2020-07-02 05:30:00|206873740
2210971500057025|2020-07-02 19:16:32|715|Active|Tier4|2020-07-09 05:30:00|206873740
2210917400798200|2020-07-02 20:09:02|174|Active|Tier3|2020-07-02 05:30:00|206873740
2210919900319412|2020-07-03 17:34:51|199|Active|Tier4|2020-07-03 05:30:00|206873740
2210980075513171|2020-07-03 17:01:39|711|Active|Tier4|2020-07-03 05:30:00|206873740
2210980072286631|2020-07-03 19:02:57|310|Active|Tier4|2020-06-28 00:00:00|206873740
2210980075302963|2020-07-03 19:14:19|115|Active|Tier4|2020-07-03 05:30:00|206873740
2210911201402401|2020-07-03 19:27:00|188|Active|Tier4|2020-07-03 05:30:00|206873740
2210911201983665|2020-07-03 19:43:27|128|Active|Tier4|2020-07-03 05:30:00|206873740
2210912700051012|2020-07-03 20:36:50|127|Active|Tier4|2020-07-03 05:30:00|206873740
2210912501179574|2020-07-03 19:37:58|310|Active|Tier4|2020-07-03 05:30:00|206873740
2210980075541461|2020-07-04 17:38:13|259|Active|Tier4|2020-07-04 05:30:00|206873740
